,Unnamed: 0,seconds,raw_value,our-attention,attention,our_attention,blink,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
0,0,1.2874603271484377e-05,0,0.49927170868347337,37,0.4992717086834733,0,701312,222330,19280,25345,6861,14843,18936,11140
1,1,0.1009509563446044,0,0.49927170868347337,37,0.4992717086834733,0,701312,222330,19280,25345,6861,14843,18936,11140
2,2,0.2016000747680664,0,0.49927170868347337,37,0.4992717086834733,0,701312,222330,19280,25345,6861,14843,18936,11140
3,3,0.3060450553894043,0,0.49927170868347337,37,0.4992717086834733,0,701312,222330,19280,25345,6861,14843,18936,11140
4,4,0.4105479717254638,0,0.49927170868347337,37,0.4992717086834733,0,701312,222330,19280,25345,6861,14843,18936,11140
5,5,0.5150461196899414,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
6,6,0.6196482181549072,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
7,7,0.7240769863128662,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
8,8,0.8285529613494873,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
9,9,0.933131217956543,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
10,10,1.0375020503997805,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
11,11,1.1422491073608398,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
12,12,1.2465949058532717,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
13,13,1.3509819507598877,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
14,14,1.4547910690307615,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
15,15,1.5589652061462402,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
16,16,1.663106918334961,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
17,17,1.7645490169525146,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
18,18,1.8691909313201904,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
19,19,1.972245216369629,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
20,20,2.0767178535461426,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
21,21,2.181184768676758,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
22,22,2.285646915435791,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
23,23,2.3901000022888184,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
24,24,2.4942550659179688,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
25,25,2.598963975906372,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
26,26,2.703589916229248,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
27,27,2.8080739974975586,26,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
28,28,2.9125540256500244,40,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
29,29,3.016523838043213,40,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
30,30,3.121271848678589,40,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
31,31,3.225795030593872,40,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
32,32,3.33034896850586,40,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
33,33,3.434973955154419,40,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
34,34,3.539497137069702,75,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
35,35,3.643694877624512,96,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
36,36,3.745171070098877,96,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
37,37,3.847167015075684,96,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
38,38,3.951392889022827,96,0.7346075927067736,35,0.7346075927067736,0,181295,27827,3329,8024,3295,5280,1965,4170
